,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,0.000015813,1.989e+30,695700000.0,6.674e-11
1,1,Sirius,8.6,4.1769e+30,1189647000.0,4.793064532676721e-11
2,2,Canopus,310,2.9835e+31,49394700000.0,1.9859154929577466e-13
3,3,Alpha Centauri,4.4,2.1879e+30,834840000.0,5.0981944444444446e-11
4,4,Arcturus,37,2.1879e+30,18088200000.0,1.0860059171597634e-13
5,5,Vega,25,4.3758e+30,1878390000.0000002,2.0141015089163235e-11
6,6,Capella,43,5.1714e+30,8348400000.0,1.2050277777777778e-12
7,7,Rigel,860,4.574699999999999e+31,54890730000.00001,2.465812398296603e-13
8,8,Procyon,11.4,2.9835e+30,1321830000.0,2.773130193905817e-11
9,9,Betelgeuse,640,3.978e+31,660915000000.0,1.4790027700831024e-15
10,10,Achernar,144,1.33263e+31,6470010000.000001,5.170054341542374e-12
11,11,Hadar,390,2.08845e+31,5983020000.0,9.474986479177934e-12
12,12,Altair,17,3.5802e+30,1252260000.0,3.707777777777777e-11
13,13,Acrux,320,3.5801999999999996e+31,6191730000.0,1.5166266885494255e-11
14,14,Aldebaran,65,2.9835e+30,30610800000.0,5.1709710743801647e-14
15,15,Antares,600,2.3868e+31,473076000000.0,1.7320069204152247e-15
16,16,Spica,260,2.2734269999999998e+31,5196879000.0,1.3670714988467927e-11
17,17,Pollux,34,3.7790999999999997e+30,6122160000.000001,1.6374741735537186e-12
18,18,Fomalhaut,25,3.7790999999999997e+30,1252260000.0,3.9137654320987646e-11
19,19,Deneb,"2,600",3.7791e+31,141227100000.0,3.0771433424737313e-14
20,20,Mimosa,350,3.1824e+31,5843880000.0,1.513378684807256e-11
21,21,Regulus,77,7.558199999999999e+30,2156670000.0,2.6390426638917788e-11
22,22,Adhara,430,2.48625e+31,9739800000.0,4.2563775510204075e-12
23,23,Shaula,700,2.88405e+31,6122160000.000001,1.2496513429752064e-11
24,24,Castor,52,5.5692e+30,1669680000.0,3.244305555555555e-11
25,25,Gacrux,88,2.9835e+30,58438800000.0,1.4187925170068025e-14
26,26,Bellatrix,240,1.7105399999999998e+31,4035060000.0,1.706195005945303e-11
27,27,Elnath,130,9.945e+30,2921940000.0,1.89172335600907e-11
28,28,Miaplacidus,110,6.9615e+30,4730760000.0,5.0516868512110724e-12
29,29,Alnilam,"2,000",6.3648e+31,29219400000.0,1.210702947845805e-12
